id,name,discount,city,address,category,subcategory,description,detail_url
6253,!YOH,5,בני ציון,האגוז 6,אופנה,,מחפשים ציוד לגיוס או לחיילים? מוצרים איכותיים במחירים מדהימים?,https://be-plus.co.il/component/crm/product/6253
18780,"""מצמיחים חוזקות""",5,יד בנימין,השחף 45,"לימודים, חוגים וייעוץ",חוגים והעשרה,סדנא ייחודית המשלבת גיבוש חברי הקבוצה עם שתילה וצמיחה.,https://be-plus.co.il/component/crm/product/18780
5373,"""רחלי"" מוצרי טיפוח לשיער",5,רמת גן,שד' ירושלים 32,"טיפוח, קוסמטיקה ועיצוב שיער",,"מכירה ושיווק מוצרי איכות לשיער, ממיטב החברות בארץ ובעולם. צבעי שיער, ת",https://be-plus.co.il/component/crm/product/5373
6795,(חלום מתוק ) pizza liko,5,ראשון לציון,דרובין 17,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",,"פיצריה, טוסטים, מאפים. משלוחים - ראשון לציון, באר יעקב, רחובות, נס ציו",https://be-plus.co.il/component/crm/product/6795
14743,- פיצה מוצ'ה MUCHA,3.5,נתניה,הבונים 7,"מסעדות, בתי קפה, בתי מאפה ומזון מהיר",פיצריות,"פיצות איכותיות מבצק מחמצת משובח, פסטות במלאכת יד, סלטים טריים . כשר.",https://be-plus.co.il/component/crm/product/14743
6499,1 FOR 7,4,רמת השרון,סקולוב 82,לבית ולגן,,"חנות בוטיק למוצרי עץ שולחנות,קפה,קונסולות ואקססוריז לבית.",https://be-plus.co.il/component/crm/product/6499
13930,10 פלוס,2,באקה אל-גרביה,כביש ראשי אלקודס,צרכנות,,"מינימרקט, מוצרי מכולת, מוצרי חד פעמי, ממתקים, פיצוחים, תבלינים, פירות",https://be-plus.co.il/component/crm/product/13930
18899,10Q Market,6,יהוד-מונוסון,דרך העצמאות 50,"מזון, מינימרקטים וסופרמרקטים",מינימרקטים וסופרמרקטים,"הסופרמרקט של יהוד, פירות, ירקות, מוצרי צריכה בסיסיים, חלב, חטיפים, עוג",https://be-plus.co.il/component/crm/product/18899
14389,13 avenue,8.5,ביתר עילית,ישמח ישראל 4,לבית ולגן,טקסטיל ואקססוריז לבית,"שדרת הטקסטיל והנדוניה ,מגוון מצעים,מגבות, כריות,שמיכות,מפיצי ריח באויר",https://be-plus.co.il/component/crm/product/14389
12978,17 SEVENTEEN TATTOO,5,חדרה,"הרב עובדיה יוסף, 9",ספורט,,"קעקועים, פירסינג, קורסי קעקועים ופירסינג ,שירות אישי ומקצועי.",https://be-plus.co.il/component/crm/product/12978
18720,24FIT,3.5,רמת גן,דרך נגבה 43,ספורט,אימוני כושר,אימוני כושר ותזונה,https://be-plus.co.il/component/crm/product/18720
11823,27 montefiore hotel,4,תל אביב - יפו,מונטיפורי 27,אטרקציות ופנאי,,"מלון בוטיק בלב העיר הלבנה תל אביב. דקה מרוטשילד, דקה מנחלת בנימין וחמש",https://be-plus.co.il/component/crm/product/11823
15675,27 מג'נונים,7,ראש העין,מודיעין 3,לילד ולתינוק,צעצועים ומשחקי ילדים,"חנות צעצועי מדע, יצירה והתפתחות",https://be-plus.co.il/component/crm/product/15675
