מזהה,שם המוצר / שובר,ספק / מותג,קטגוריה,מחיר בהצדעה ₪,מחיר מקורי ₪,אחוז חיסכון %,תגיות מבצע,מיקום / משלוח,תוקף המבצע,הגבלת רכישה,רשת מקושרת,קישור למוצר
218,סופרלנד,אטרקציות,אטרקציות,100.0,120.0,17%,"החמים של ספטמבר, מבלים בחג, אטרקציות לחול המועד, אטרקציות","שדרות מרילנד 5, ראשון לציון",,,ללא,https://www.behatsdaa.org.il/category/productPage/218
151499,רשת אצה - שובר 150 ₪ - למימוש חד פעמי,רשת אצה,החמים של ספטמבר,95.0,123.0,23%,"החמים של ספטמבר, טעים, מהיר, משתלם",מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/151499
2540,קייקי כפר בלום,אטרקציות,אטרקציות,55.0,219.0,75%,"החמים של ספטמבר, אטרקציות","קיבוץ כפר בלום , כפר בלום",,,ללא,https://www.behatsdaa.org.il/category/productPage/2540
143751,מקדונלד'ס - שובר 100 ₪ - למימוש חד פעמי,מקדונלד'ס,החמים של ספטמבר,70.0,90.0,22%,"החמים של ספטמבר, תווי קניה והטבות כסף",מגוון סניפים,,,מקדונלדס אונליין,https://www.behatsdaa.org.il/category/productPage/143751
25086,סטימצקי - ספר במבצע,סטימצקי,החמים של ספטמבר,35.0,55.0,36%,החמים של ספטמבר,מגוון סניפים,,,סטימצקי,https://www.behatsdaa.org.il/category/productPage/25086
157352,פיצה האט- 2 משפחתיות,פיצה האט,החמים של ספטמבר,89.0,119.0,25%,"החמים של ספטמבר, מומלצי החודש",מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/157352
152436,Magic Kass – מג'יק קאס-פארק השעשועים,Magic Kass,אטרקציות,89.0,101.0,12%,"החמים של ספטמבר, אטרקציות לכל המשפחה, אטרקציות",". , מעלה אדומים",,,ללא,https://www.behatsdaa.org.il/category/productPage/152436
57454,מיי בייבי ירכא פארק שעשועים,אטרקציות,אטרקציות,64.0,140.0,54%,"החמים של ספטמבר, אטרקציות לחול המועד, אטרקציות","אזור תעשיה , ירכא",,,ללא,https://www.behatsdaa.org.il/category/productPage/57454
215,לונה פארק,אטרקציות,אטרקציות,100.0,120.0,17%,"החמים של ספטמבר, מבלים בחג, אטרקציות לחול המועד, אטרקציות","שדרות ישראל רוקח , תל אביב - יפו",,,ללא,https://www.behatsdaa.org.il/category/productPage/215
67227,6 ליטר שמן זית מבית 'משק אחיה',משק אחיה,מבצעי צרכנות לחג,219.0,254.0,14%,"מבצעי צרכנות לחג, מזמינים הביתה וחוסכים",מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/67227
26633,סט מצעים יחיד/זוגי 100% כותנה פרקל - ורדינון,סט מצעים יחיד/זוגי 100% כותנה פרקל,מבצעי צרכנות לחג,165.0,235.0,30%,"מבצעי צרכנות לחג, טקסטיל והלבשה",מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/26633
175659,שואב שוטף אלחוטי Dreame G10 Pro - יבואן רשמי,שואב שוטף אלחוטי Dreame G10 Pro,מבצעי צרכנות לחג,679.0,679.0,0%,מבצעי צרכנות לחג,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/175659
185199,מכונת שטיפה בלחץ 130 בר מבית AXON,AXON,מבצעי צרכנות לחג,179.0,218.0,18%,"מבצעי צרכנות לחג, חשמל לבית ולמטבח",מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/185199
163009,סט קופסאות אחסון מזכוכית 24 חלקים,בהצדעה,מבצעי צרכנות לחג,69.0,98.0,30%,"מבצעי צרכנות לחג, מכינים את המטבח",מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/163009
140751,סט מצעי מיקס ג'רסי - ורדינון,סט מצעי מיקס ג'רסי,מבצעי צרכנות לחג,159.0,255.0,38%,"מבצעי צרכנות לחג, טקסטיל והלבשה",מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/140751
179368,מארז 3 מגבות רחצה קלאסיקו גדלים לבחירה - ורדינון,מארז 3 מגבות רחצה קלאסיקו גדלים לבחירה,מבצעי צרכנות לחג,99.0,149.0,34%,מבצעי צרכנות לחג,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/179368
